journal,domain,tier,issn,volume_2024,total_dois
Nucleic Acids Research,cs_ai,1,0305-1048,162,55298
Macromolecules,cs_ai,1,0024-9297,130,51912
American Journal of Roentgenology,cs_ai,1,0361-803X,213,35740
Physica A: Statistical Mechanics and its Applications,cs_ai,1,0378-4371,235,32915
BMC Public Health,cs_ai,1,1471-2458,355,30530
NeuroImage,cs_ai,1,1053-8119,208,27921
Advances in Space Research,cs_ai,1,0273-1177,187,27031
EPJ Web of Conferences,cs_ai,1,2100-014X,223,26074
Transportation Research Record: Journal of the Transportation Research Board,cs_ai,1,0361-1981,130,24929
IEEE Transactions on Antennas and Propagation,cs_ai,1,0018-926X,64,24604
Journal of Lightwave Technology,cs_ai,1,0733-8724,210,24038
Journal of Affective Disorders,cs_ai,1,0165-0327,117,22805
ChemistrySelect,cs_ai,1,2365-6549,227,21975
Bioinformatics,cs_ai,1,1367-4803,320,20680
Geophysical Journal International,cs_ai,1,0956-540X,115,20098
Frontiers in Neuroscience,cs_ai,1,1662-4548,251,19027
AIP Advances,cs_ai,1,2158-3226,95,18672
F1000Research,cs_ai,1,2046-1402,298,17333
European Radiology,cs_ai,1,0938-7994,141,17304
International Journal of Surgery,cs_ai,1,1743-9191,360,17152
BMC Health Services Research,cs_ai,1,1472-6963,111,16525
Biomedicines,cs_ai,1,2227-9059,122,16458
Geophysics,cs_ai,1,0016-8033,140,15242
Ecological Indicators,cs_ai,1,1470-160X,213,14628
Statistics in Medicine,cs_ai,1,0277-6715,143,14604
Procedia CIRP,cs_ai,1,2212-8271,151,14571
BIO Web of Conferences,cs_ai,1,2117-4458,226,14557
International Journal of Remote Sensing,cs_ai,1,0143-1161,143,14544
IEEE Communications Magazine,cs_ai,1,0163-6804,123,13833
Wireless Personal Communications,cs_ai,1,0929-6212,155,13347
BMC Bioinformatics,cs_ai,1,1471-2105,191,12831
Atmosphere,cs_ai,1,2073-4433,211,12384
Remote Sensing of Environment,cs_ai,1,0034-4257,208,11611
International Communications in Heat and Mass Transfer,cs_ai,1,0735-1933,93,11564
IEEE Antennas and Wireless Propagation Letters,cs_ai,1,1536-1225,68,11313
Current Psychology,cs_ai,1,1046-1310,59,10899
Computer Communications,cs_ai,1,0140-3664,153,10802
Minerals,cs_ai,1,2075-163X,185,10718
IEEE Signal Processing Letters,cs_ai,1,1070-9908,303,10694
Journal of Biomolecular Structure and Dynamics,cs_ai,1,0739-1102,113,10290
IEEE Journal on Selected Areas in Communications,cs_ai,1,0733-8716,168,10243
Communications Biology,cs_ai,1,2399-3642,168,9899
"IEEJ Transactions on Electronics, Information and Systems",cs_ai,1,0385-4221,396,9847
Acta Psychologica,cs_ai,1,0001-6918,157,9354
Cerebral Cortex,cs_ai,1,1047-3211,139,9295
Artificial Organs,cs_ai,1,0160-564X,403,9033
Finance Research Letters,cs_ai,1,1544-6123,72,9003
Chaos: An Interdisciplinary Journal of Nonlinear Science,cs_ai,1,1054-1500,223,8808
Caderno Pedagógico,cs_ai,1,1983-0882,97,8295
Concurrency and Computation: Practice and Experience,cs_ai,1,1532-0626,109,7971
Journal of Neural Transmission,cs_ai,1,0300-9564,396,7899
Human Brain Mapping,cs_ai,1,1065-9471,91,7700
IEEE Transactions on Visualization and Computer Graphics,cs_ai,1,1077-2626,158,7645
Journal of the American College of Radiology,cs_ai,2,1546-1440,54,7345
BMC Oral Health,cs_ai,2,1472-6831,163,7324
Sustainable Cities and Society,cs_ai,2,2210-6707,124,7197
Journal of Mining Science,cs_ai,2,1062-7391,178,6914
IEEE Transactions on Dependable and Secure Computing,cs_ai,2,1545-5971,129,6622
IEEE Transactions on Smart Grid,cs_ai,2,1949-3053,113,6572
Resources Policy,cs_ai,2,0301-4207,174,6534
Humanities and Social Sciences Communications,cs_ai,2,2662-9992,195,6503
ISA Transactions,cs_ai,2,0019-0578,402,6479
Advances in Social Sciences,cs_ai,2,2169-2556,142,6195
Behavioral Sciences,cs_ai,2,2076-328X,56,5953
Security and Communication Networks,cs_ai,2,1939-0114,131,5952
ShodhKosh: Journal of Visual and Performing Arts,cs_ai,2,2582-7472,155,5790
The International Journal of Artificial Organs,cs_ai,2,0391-3988,202,5789
Digital Signal Processing,cs_ai,2,1051-2004,69,5570
Machines,cs_ai,2,2075-1702,247,5530
The Visual Computer,cs_ai,2,0178-2789,76,5491
IEEE Systems Journal,cs_ai,2,1932-8184,283,5051
LATAM Revista Latinoamericana de Ciencias Sociales y Humanidades,cs_ai,2,2789-3855,51,5010
Decision Support Systems,cs_ai,2,0167-9236,347,4904
Proceedings of the VLDB Endowment,cs_ai,2,2150-8097,161,4833
International Journal of Medical Informatics,cs_ai,2,1386-5056,52,4747
BMC Nursing,cs_ai,2,1472-6955,175,4736
Asian Journal of Control,cs_ai,2,1561-8625,386,4593
Journal of Medical Systems,cs_ai,2,0148-5598,326,4575
Computational Mechanics,cs_ai,2,0178-7675,334,4523
Deep Sea Research Part I: Oceanographic Research Papers,cs_ai,2,0967-0637,280,4521
BMC Psychology,cs_ai,2,2050-7283,59,4418
IEEE Network,cs_ai,2,0890-8044,148,4244
Creative Education Studies,cs_ai,2,2331-799X,207,4223
IEEE Transactions on Transportation Electrification,cs_ai,2,2332-7782,235,4197
Discrete and Continuous Dynamical Systems - B,cs_ai,2,1531-3492,263,4151
International Journal of Intelligent Systems,cs_ai,2,0884-8173,347,4003
Fractal and Fractional,cs_ai,2,2504-3110,88,3903
BMC Medical Research Methodology,cs_ai,2,1471-2288,145,3840
Neural Computation,cs_ai,2,0899-7667,149,3758
Technology in Society,cs_ai,2,0160-791X,50,3690
ITM Web of Conferences,cs_ai,2,2271-2097,295,3659
IEEE/ACM Transactions on Computational Biology and Bioinformatics,cs_ai,2,1545-5963,226,3518
Drones,cs_ai,2,2504-446X,202,3422
Japanese Journal of JSCE,cs_ai,2,2436-6021,112,3421
Intelligence,cs_ai,2,0343-6993,184,3408
Networks,cs_ai,2,0028-3045,97,3321
Neural Processing Letters,cs_ai,2,1370-4621,373,3304
Telecommunication Systems,cs_ai,2,1018-4864,316,3067
Frontiers in Computational Neuroscience,cs_ai,2,1662-5188,252,3062
Biomimetics,cs_ai,2,2313-7673,118,3034
Mobile Networks and Applications,cs_ai,2,1383-469X,188,2891
Journal of King Saud University - Computer and Information Sciences,cs_ai,2,1319-1578,301,2841
International Journal of Geographical Information Science,cs_ai,2,1365-8816,321,2725
Journal of Systems Engineering and Electronics,cs_ai,2,1004-4132,243,2715
"International Journal of Numerical Modelling: Electronic Networks, Devices and Fields",cs_ai,2,0894-3370,267,2708
Journal of Computational Biology,cs_ai,2,1066-5277,192,2702
Neurorehabilitation and Neural Repair,cs_ai,2,0888-4390,185,2670
Discrete and Continuous Dynamical Systems - S,cs_ai,2,1937-1632,378,2557
Physical Communication,cs_ai,2,1874-4907,115,2535
Information Development,cs_ai,2,0266-6669,278,2473
Journal of Computational and Graphical Statistics,cs_ai,2,1061-8600,343,2451
Journal of Optical Communications and Networking,cs_ai,2,1943-0620,182,2364
Computational Optimization and Applications,cs_ai,2,0926-6003,231,2339
Machine Vision and Applications,cs_ai,2,0932-8092,295,2317
"Artificial Cells, Nanomedicine, and Biotechnology",cs_ai,2,2169-1401,83,2269
IET Intelligent Transport Systems,cs_ai,2,1751-956X,324,2207
Peer-to-Peer Networking and Applications,cs_ai,2,1936-6442,100,2187
ACM Transactions on Embedded Computing Systems,cs_ai,2,1539-9087,318,2128
Artificial Life and Robotics,cs_ai,2,1433-5298,197,2120
IUCrData,cs_ai,2,2414-3146,275,2046
International Journal of Digital Earth,cs_ai,2,1753-8947,174,2021
Computational Statistics,cs_ai,2,0943-4062,290,2016
Journal of Systems Science and Complexity,cs_ai,2,1009-6124,305,2000
International Journal of Mining Science and Technology,cs_ai,2,2095-2686,305,1975
Remote Sensing Applications: Society and Environment,cs_ai,2,2352-9385,133,1973
International Journal of Neural Systems,cs_ai,2,0129-0657,169,1953
Information Systems Research,cs_ai,2,1047-7047,316,1870
IEEE Open Journal of the Communications Society,cs_ai,2,2644-125X,310,1863
Pattern Recognition and Image Analysis,cs_ai,2,1054-6618,211,1859
Advances in Computational Mathematics,cs_ai,2,1019-7168,199,1848
Journal of Computational and Nonlinear Dynamics,cs_ai,2,1555-1423,225,1838
Health Research Policy and Systems,cs_ai,2,1478-4505,373,1837
Applied and Computational Harmonic Analysis,cs_ai,2,1063-5203,174,1813
Computational Geometry,cs_ai,2,0925-7721,71,1807
Social Networks,cs_ai,2,0378-8733,148,1800
ACM Transactions on Design Automation of Electronic Systems,cs_ai,2,1084-4309,320,1788
The Extractive Industries and Society,cs_ai,2,2214-790X,154,1769
Internet of Things,cs_ai,2,2542-6605,99,1757
Frontiers in Digital Health,cs_ai,2,2673-253X,65,1749
Mathematical and Computational Applications,cs_ai,2,1300-686X,310,1747
Annals of Mathematics and Artificial Intelligence,cs_ai,2,1012-2443,136,1730
International Journal on Artificial Intelligence Tools,cs_ai,2,0218-2130,190,1716
Frontiers in Neural Circuits,cs_ai,2,1662-5110,117,1702
International Journal of Computational Methods,cs_ai,2,0219-8762,179,1673
"Optoelectronics, Instrumentation and Data Processing",cs_ai,2,8756-6990,175,1591
ACM Transactions on Information Systems,cs_ai,2,1046-8188,359,1572
IEEE Transactions on Affective Computing,cs_ai,2,1949-3045,191,1564
Social Network Analysis and Mining,cs_ai,2,1869-5450,387,1556
Computational Geosciences,cs_ai,2,1420-0597,129,1543
Journal of Artificial Organs,cs_ai,2,1434-7229,115,1540
Information Management and Business Review,cs_ai,2,2220-3796,312,1531
IEEE Transactions on Green Communications and Networking,cs_ai,2,2473-2400,134,1463
ACM Transactions on Intelligent Systems and Technology,cs_ai,2,2157-6904,377,1452
The Journal of Neuroscience,cs_ai,2,0964-704X,124,1412
"Artificial Intelligence for Engineering Design, Analysis and Manufacturing",cs_ai,2,0890-0604,52,1392
Engineering Applications of Computational Fluid Mechanics,cs_ai,2,1994-2060,314,1375
Data Mining and Knowledge Discovery,cs_ai,2,1384-5810,185,1341
Cell Systems,cs_ai,2,2405-4712,263,1340
IEEE Transactions on Cognitive and Developmental Systems,cs_ai,3,2379-8920,291,1334
"Journal of Transportation Engineering, Part A: Systems",cs_ai,3,2473-2907,364,1331
Transactions of the Japanese Society for Artificial Intelligence,cs_ai,3,1346-0714,158,1329
npj Quantum Information,cs_ai,3,2056-6387,390,1237
Theoretical and Computational Fluid Dynamics,cs_ai,3,0935-4964,76,1226
Chemical Data Collections,cs_ai,3,2405-8300,112,1208
Network: Computation in Neural Systems,cs_ai,3,0954-898X,118,1206
ACM Transactions on Sensor Networks,cs_ai,3,1550-4859,238,1180
Sustainable Computing: Informatics and Systems,cs_ai,3,2210-5379,298,1149
IEEE Transactions on Computational Imaging,cs_ai,3,2573-0436,313,1114
AI and Ethics,cs_ai,3,2730-5953,167,1064
China Scientific Data,cs_ai,3,2096-2223,377,1059
IEEE Transactions on Big Data,cs_ai,3,2332-7790,381,1049
Interdisciplinary Sciences: Computational Life Sciences,cs_ai,3,1913-2751,226,1040
Healthcare,cs_ai,3,1929-6339,214,1029
Computational Methods and Function Theory,cs_ai,3,1617-9447,78,1026
Journal of Advances in Information Technology,cs_ai,3,1798-2340,322,1024
Journal of Pipeline Systems Engineering and Practice,cs_ai,3,1949-1190,259,1012
Journal of Degraded and Mining Lands Management,cs_ai,3,2339-076X,402,1006
Imaging Neuroscience,cs_ai,3,2837-6056,105,996
Nature Computational Science,cs_ai,3,2662-8457,350,973
Russian Journal of Transplantology and Artificial Organs,cs_ai,3,1995-1191,163,966
Computational Methods in Applied Mathematics,cs_ai,3,1609-4840,80,963
Internet Technology Letters,cs_ai,3,2476-1508,94,956
Networks and Spatial Economics,cs_ai,3,1566-113X,103,863
Optical Memory and Neural Networks,cs_ai,3,1060-992X,201,856
Networks and Heterogeneous Media,cs_ai,3,1556-1801,137,855
IEEE Transactions on Signal and Information Processing over Networks,cs_ai,3,2373-776X,224,851
Foundations of Computational Mathematics,cs_ai,3,1615-3375,78,841
European Heart Journal - Digital Health,cs_ai,3,2634-3916,51,838
Journal of the Computational Structural Engineering Institute of Korea,cs_ai,3,1229-3059,87,825
Soil Systems,cs_ai,3,2571-8789,300,822
Journal of computational fluids engineering,cs_ai,3,1598-6071,70,822
Transactions of the Association for Computational Linguistics,cs_ai,3,2307-387X,184,814
"ASCE-ASME Journal of Risk and Uncertainty in Engineering Systems, Part A: Civil Engineering",cs_ai,3,2376-7642,247,811
Synthetic and Systems Biotechnology,cs_ai,3,2405-805X,364,808
International Journal of Computational Intelligence and Applications,cs_ai,3,1469-0268,79,797
Journal of Sensor and Actuator Networks,cs_ai,3,2224-2708,235,779
European Journal of Computer Science and Information Technology,cs_ai,3,2054-0957,376,754
Medicine,cs_ai,3,2305-6320,350,749
Computational Continuum Mechanics,cs_ai,3,1999-6691,68,748
International Journal on Document Analysis and Recognition (IJDAR),cs_ai,3,1433-2833,106,731
npj Systems Biology and Applications,cs_ai,3,2056-7189,338,724
Frontiers in Big Data,cs_ai,3,2624-909X,204,722
Artificial Intelligence and Law,cs_ai,3,0924-8463,218,698
International Journal of Artificial Intelligence in Education,cs_ai,3,1560-4292,302,691
Annals of Data Science,cs_ai,3,2198-5804,168,666
EPJ Data Science,cs_ai,3,2193-1127,200,649
BioData Mining,cs_ai,3,1756-0381,186,644
Journal of Complex Networks,cs_ai,3,2051-1310,90,615
International Journal of Cognitive Informatics and Natural Intelligence,cs_ai,3,1557-3958,68,612
Intelligent Systems with Applications,cs_ai,3,2667-3053,344,600
IEEE Transactions on Networking,cs_ai,3,2998-4157,123,567
ESMO Real World Data and Digital Oncology,cs_ai,3,2949-8201,152,566
Computational Visual Media,cs_ai,3,2096-0433,164,536
Cleaner Waste Systems,cs_ai,3,2772-9125,375,506
Applied Computational Intelligence and Soft Computing,cs_ai,3,1687-9724,286,500
BMC Genomic Data,cs_ai,3,2730-6844,232,475
Journal of Computational Social Science,cs_ai,3,2432-2717,222,461
Data Intelligence,cs_ai,3,2096-7004,234,454
Journal of Machine and Computing,cs_ai,3,2789-1801,351,450
Systems and Soft Computing,cs_ai,3,2772-9419,399,443
IEEE Transactions on Computational Biology and Bioinformatics,cs_ai,3,2998-4165,387,437
Progress in Artificial Intelligence,cs_ai,3,2192-6352,210,431
Computational Toxicology,cs_ai,3,2468-1113,105,404
International Journal of Information Management Data Insights,cs_ai,3,2667-0968,178,401
Big Data Mining and Analytics,cs_ai,3,2096-0654,194,381
IEEE Journal on Multiscale and Multiphysics Computational Techniques,cs_ai,3,2379-8815,73,381
Discover Health Systems,cs_ai,3,2731-7501,261,348
Journal of Open Humanities Data,cs_ai,3,2059-481X,188,313
Artificial Intelligence for the Earth Systems,cs_ai,3,2769-7525,350,294
Computers in Human Behavior: Artificial Humans,cs_ai,3,2949-8821,245,286
Artificial Intelligence in Agriculture,cs_ai,3,2589-7217,310,284
Mining,cs_ai,3,2673-6489,151,284
Machine Intelligence Research,cs_ai,3,2731-538X,284,262
Computational Urban Science,cs_ai,3,2730-6852,141,257
Journal of Big Data and Computing,cs_ai,3,2959-0590,128,244
Journal of Intelligence and Knowledge Engineering,cs_ai,3,2959-0620,226,231
Biomimetic Intelligence and Robotics,cs_ai,3,2667-3797,286,211
Journal of Artificial Intelligence and Capsule Networks,cs_ai,3,2582-2012,51,211
Robotic Intelligence and Automation,cs_ai,3,2754-6969,240,197
Artificial Intelligence in Geosciences,cs_ai,3,2666-5441,208,180
Turkish Computational and Theoretical Chemistry,cs_ai,3,2587-1722,78,167
Journal of Computer Science and Artificial Intelligence,cs_ai,3,3078-8242,292,152
Journal of Information and Intelligence,cs_ai,3,2949-7159,156,150
Artificial Intelligence Surgery,cs_ai,3,2771-0408,158,138
Journal of Automation and Intelligence,cs_ai,3,2949-8554,83,127
Artificial Intelligence Chemistry,cs_ai,3,2949-7477,160,115
Architectural Intelligence,cs_ai,3,2731-6726,59,113
Scientific Journal of Artificial Intelligence and Blockchain Technologies,cs_ai,3,3049-4389,164,110
IEEE Transactions on Circuits and Systems for Artificial Intelligence,cs_ai,3,2996-6647,57,109
Journal of Infrastructure Intelligence and Resilience,cs_ai,3,2772-9915,57,108
Visual Intelligence,cs_ai,3,2097-3330,51,108
The European Journal on Artificial Intelligence,cs_ai,3,3050-4554,136,92
European Journal of Radiology Artificial Intelligence,cs_ai,3,3050-5771,148,88
npj Artificial Intelligence,cs_ai,3,3005-1460,60,87
Journal of Future Artificial Intelligence and Technologies,cs_ai,3,3048-3719,65,81
Computational and Structural Biotechnology Reports,cs_ai,3,2950-3639,68,80
AI,cs_ai,3,2014-4865,60,76
Brain Sciences,cs_ai,3,2766-6883,188,70
Journal of Applied Artificial Intelligence,cs_ai,3,2709-5908,66,43
International Journal for Computational Civil and Structural Engineering,cs_ai,3,1524-5845,128,16
Artificial Life,cs_ai,3,3123-8815,51,13
Journal of Computational Design and Engineering,cs_ai,3,2288-4300,270,6
PLOS ONE,stem,1,1932-6203,8467,333963
Scientific Reports,stem,1,2045-2322,61270,289348
Physical Review B,stem,1,1098-0121,24148,225602
Angewandte Chemie,stem,1,0044-8249,20982,219544
Journal of the American Chemical Society,stem,1,0002-7863,28261,218082
Journal of Physics: Conference Series,stem,1,1742-6588,49616,213059
Journal of Biological Chemistry,stem,1,0021-9258,2797,210992
Proceedings of the National Academy of Sciences,stem,1,0027-8424,5804,169754
Physical Review Letters,stem,1,0031-9007,14927,142552
Analytical Chemistry,stem,1,0003-2700,14825,138386
The Astrophysical Journal,stem,1,0004-637X,9272,132274
IOP Conference Series: Earth and Environmental Science,stem,1,1755-1307,45042,122237
Physical Review D,stem,1,1550-7998,24336,118922
International Journal of Molecular Sciences,stem,1,1422-0067,18186,109313
Sustainability,stem,1,2071-1050,23308,103031
The Journal of Organic Chemistry,stem,1,0022-3263,11709,101595
IOP Conference Series: Materials Science and Engineering,stem,1,1757-8981,9084,99061
The Journal of Physical Chemistry B,stem,1,1520-6106,2599,97774
Physical Review A,stem,1,1050-2947,7463,96759
Monthly Notices of the Royal Astronomical Society,stem,1,0035-8711,4394,92132
Journal of Alloys and Compounds,stem,1,0925-8388,27033,88665
Applied Sciences,stem,1,2076-3417,54525,86869
International Journal of Radiation Oncology*Biology*Physics,stem,1,0360-3016,2900,85107
Japanese Journal of Applied Physics,stem,1,0021-4922,3891,83435
Science of The Total Environment,stem,1,0048-9697,30334,82333
RSC Advances,stem,1,2046-2069,8078,80824
Angewandte Chemie International Edition,stem,1,1433-7851,20999,79178
Sensors,stem,1,1424-8220,18138,76958
Chemical Communications,stem,1,1359-7345,20525,76191
Inorganic Chemistry,stem,1,0020-1669,17365,76116
Chemical Engineering Journal,stem,1,1385-8947,209338,71728
Journal of Applied Polymer Science,stem,1,0021-8995,11627,67682
Chemical Physics Letters,stem,1,0009-2614,3864,67103
Physics Letters B,stem,1,0370-2693,4108,66844
Applied Surface Science,stem,1,0169-4332,24485,66648
Optics Express,stem,1,1094-4087,11634,66204
International Journal of Environmental Research and Public Health,stem,1,1660-4601,3972,65869
Molecules,stem,1,1420-3049,11346,63537
Energies,stem,1,1996-1073,16867,61755
Journal of Agricultural and Food Chemistry,stem,1,0021-8561,13818,60439
Langmuir,stem,1,0743-7463,12242,59673
The Journal of Physical Chemistry C,stem,1,1932-7447,13025,58204
International Journal of Hydrogen Energy,stem,1,0360-3199,29439,57822
Physical Chemistry Chemical Physics,stem,1,1463-9076,31504,57254
Materials,stem,1,1996-1944,26029,55377
"Nuclear Instruments and Methods in Physics Research Section A: Accelerators, Spectrometers, Detectors and Associated Equipment",stem,1,0168-9002,4544,55282
Key Engineering Materials,stem,1,1662-9795,6123,54785
Journal of Chemical Education,stem,1,0021-9584,2258,53304
Physics Letters A,stem,1,0375-9601,3468,53112
Electrochimica Acta,stem,1,0013-4686,4225,52496
Ceramics International,stem,1,0272-8842,33628,52364
International Journal of Biological Macromolecules,stem,1,0141-8130,27056,50373
Journal of Colloid and Interface Science,stem,1,0021-9797,17883,49049
Journal of Magnetism and Magnetic Materials,stem,1,0304-8853,2015,48939
Environmental Science and Pollution Research,stem,1,0944-1344,16590,48480
Journal of Cleaner Production,stem,1,0959-6526,9075,47690
Journal of Molecular Structure,stem,1,0022-2860,6953,47689
Physical Review C,stem,1,0556-2813,1187,47168
Analytical and Bioanalytical Chemistry,stem,1,1618-2642,1308,46849
Journal of High Energy Physics,stem,1,1126-6708,18063,46024
Optics Letters,stem,1,0146-9592,5552,45168
Medical Physics,stem,1,0094-2405,2998,44958
Journal of Organometallic Chemistry,stem,1,0022-328X,754,44879
Applied Optics,stem,1,0003-6935,2934,44752
Materials Science and Engineering: A,stem,1,0921-5093,30200,44618
Heliyon,stem,1,2405-8440,11954,44589
Organic Letters,stem,1,1523-7060,11166,44369
Advanced Materials,stem,1,0935-9648,18509,43155
The Journal of Physical Chemistry A,stem,1,1089-5639,2331,41514
Remote Sensing,stem,1,2072-4292,10971,41265
Journal of Hazardous Materials,stem,1,0304-3894,16335,41136
Materials Letters,stem,1,0167-577X,6920,40610
Journal of Dairy Science,stem,1,0022-0302,4658,40464
Physica B: Condensed Matter,stem,1,0921-4526,2610,40436
Journal of Physics: Condensed Matter,stem,1,0953-8984,2874,40257
Advanced Functional Materials,stem,1,1616-301X,30525,39870
Journal of Medicinal Chemistry,stem,1,0022-2623,3062,39740
Journal of Power Sources,stem,1,0378-7753,7133,39716
Dalton Transactions,stem,1,1477-9226,5212,39146
Russian Chemical Bulletin,stem,1,1066-5285,757,38605
Nuclear Instruments and Methods in Physics Research Section B: Beam Interactions with Materials and Atoms,stem,1,0168-583X,1390,38294
Nuclear Physics A,stem,1,0375-9474,772,37745
Applied and Environmental Microbiology,stem,1,0099-2240,2730,37322
Sensors and Actuators B: Chemical,stem,1,0925-4005,10844,36741
Journal of Materials Chemistry A,stem,1,2050-7488,25362,36684
Talanta,stem,1,0039-9140,4591,35702
Journal of Applied Physics,stem,1,0022-3727,12754,35418
Journal of Physics D: Applied Physics,stem,1,0022-3727,4644,35418
International Journal of Heat and Mass Transfer,stem,1,0017-9310,1914,35360
Acta Physica Sinica,stem,1,1000-3290,6392,34848
Physics of Fluids,stem,1,1070-6631,44984,34040
Poultry Science,stem,1,0032-5791,7318,34022
ACS Omega,stem,1,2470-1343,12998,34007
Journal of Applied Physiology,stem,1,8750-7587,788,33994
Bioresource Technology,stem,1,0960-8524,4512,33786
Frontiers in Plant Science,stem,1,1664-462X,14060,33730
Procedia Computer Science,stem,1,1877-0509,15388,33546
Chemical Engineering Science,stem,1,0009-2509,32720,33391
Colloids and Surfaces A: Physicochemical and Engineering Aspects,stem,1,0927-7757,50722,33135
Physica Scripta,stem,1,0031-8949,6343,33122
Nanoscale,stem,1,2040-3364,7977,32016
Small,stem,2,1613-6810,20022,31485
Nuclear Physics B,stem,2,0550-3213,2026,31434
Polymers,stem,2,2073-4360,7103,31016
IEEE Sensors Journal,stem,2,1530-437X,11767,30928
Applied Thermal Engineering,stem,2,1359-4311,67712,29910
New Journal of Chemistry,stem,2,1144-0546,9332,29675
Journal of Materials Science: Materials in Electronics,stem,2,0957-4522,11504,29456
Journal of Environmental Management,stem,2,0301-4797,19329,29128
Separation and Purification Technology,stem,2,1383-5866,17935,29080
Journal of Molecular Liquids,stem,2,0167-7322,1956,28360
Physics of Plasmas,stem,2,1070-664X,4134,28331
Journal of Hydrology,stem,2,0022-1694,5137,28298
ACS Nano,stem,2,1936-0851,14353,28201
Environmental Pollution,stem,2,0269-7491,9355,28144
IEEE Transactions on Instrumentation and Measurement,stem,2,0018-9456,11123,28083
Chemistry of Materials,stem,2,0897-4756,4403,27926
Applied Energy,stem,2,0306-2619,14244,26851
Journal of Mathematical Physics,stem,2,0022-2488,1934,26535
Materials Chemistry and Physics,stem,2,0254-0584,14738,26339
Renewable Energy,stem,2,0960-1481,10318,26250
