journal,domain,tier,issn,volume_2024,total_dois
Journal of Radioanalytical and Nuclear Chemistry,stem,2,0236-5731,1538,26188
IEEE Transactions on Geoscience and Remote Sensing,stem,2,0196-2892,10483,25972
Journal of Membrane Science,stem,2,0376-7388,5466,25942
Applied Mathematics and Computation,stem,2,0096-3003,1278,24867
Applied Physics A,stem,2,0947-8396,4542,24624
IEEE Transactions on Applied Superconductivity,stem,2,1051-8223,2354,24589
Ocean Engineering,stem,2,0029-8018,56408,24195
Animals,stem,2,2076-2615,5068,23876
Nanotechnology,stem,2,0957-4484,1298,23831
Journal of Materials Chemistry C,stem,2,2050-7526,13793,23576
Journal of Solid State Chemistry,stem,2,0022-4596,1326,23417
IEEE Transactions on Industrial Electronics,stem,2,0278-0046,4729,23300
Microchemical Journal,stem,2,0026-265X,7480,22665
European Journal of Organic Chemistry,stem,2,1434-193X,1540,22538
Journal of Environmental Chemical Engineering,stem,2,2213-3437,78283,22461
Engineering Structures,stem,2,0141-0296,34305,22127
Plants,stem,2,2223-7747,7615,21950
Nanomaterials,stem,2,2079-4991,4434,21940
Journal of Physics and Chemistry of Solids,stem,2,0022-3697,5342,21904
Journal of Ethnopharmacology,stem,2,0378-8741,3980,21498
Energy Conversion and Management,stem,2,0196-8904,3101,21494
Applied Microbiology and Biotechnology,stem,2,0175-7598,933,21338
Journal of Computational Physics,stem,2,0021-9991,3676,20878
IEEE Transactions on Power Electronics,stem,2,0885-8993,4419,20585
Soft Matter,stem,2,1744-683X,1815,20521
Chemical Physics,stem,2,0301-0104,2454,20372
Journal of Energy Storage,stem,2,2352-152X,25106,20262
Molecular Physics,stem,2,0026-8976,1166,20148
Chemical Science,stem,2,2041-6520,17821,20083
Processes,stem,2,2227-9717,7437,19840
Ecotoxicology and Environmental Safety,stem,2,0147-6513,9132,19520
Applied Catalysis B: Environment and Energy,stem,2,0926-3373,7410,19445
Chinese Physics B,stem,2,1674-1056,3842,19358
The Journal of Physical Chemistry Letters,stem,2,1948-7185,9205,19201
Advanced Science,stem,2,2198-3844,21714,19185
Agronomy,stem,2,2073-4395,6494,19157
Nuclear Engineering and Design,stem,2,0029-5493,11004,19140
Environmental Monitoring and Assessment,stem,2,0167-6369,2927,19004
European Journal of Inorganic Chemistry,stem,2,1434-1948,825,18998
Solar Energy,stem,2,0038-092X,1981,18803
European Journal of Medicinal Chemistry,stem,2,0223-5234,2396,18742
Applied Catalysis A: General,stem,2,0926-860X,975,18677
Toxicology and Applied Pharmacology,stem,2,0041-008X,774,18568
Chinese Physics Letters,stem,2,0256-307X,1280,18542
Industrial Crops and Products,stem,2,0926-6690,4813,18527
Science Advances,stem,2,2375-2548,12378,18492
Measurement Science and Technology,stem,2,0957-0233,8202,18263
Food and Chemical Toxicology,stem,2,0278-6915,1577,17990
Microorganisms,stem,2,2076-2607,4284,17618
The Physics Teacher,stem,2,0031-921X,1182,17438
Journal of Computational and Applied Mathematics,stem,2,0377-0427,1872,17318
Buildings,stem,2,2075-5309,14254,17194
Optical Materials,stem,2,0925-3467,3187,17063
Energy Policy,stem,2,0301-4215,1153,17023
Journal of Materials Research and Technology,stem,2,2238-7854,13503,16904
ACS Catalysis,stem,2,2155-5435,7079,16836
Computer Methods in Applied Mechanics and Engineering,stem,2,0045-7825,14507,16661
Inorganic Chemistry Communications,stem,2,1387-7003,4553,16573
Energy and Buildings,stem,2,0378-7788,3155,16408
Russian Physics Journal,stem,2,1064-8887,1199,16348
Fusion Engineering and Design,stem,2,0920-3796,8226,16318
Journal of Materials Engineering and Performance,stem,2,1059-9495,32054,16303
Renewable and Sustainable Energy Reviews,stem,2,1364-0321,2615,15988
Journal of Building Engineering,stem,2,2352-7102,53952,15873
International Immunopharmacology,stem,2,1567-5769,4798,15824
Forests,stem,2,1999-4907,4421,15809
Materials Science and Engineering: B,stem,2,0921-5107,17741,15727
Atmospheric Chemistry and Physics,stem,2,1680-7324,5481,15650
Engineering Fracture Mechanics,stem,2,0013-7944,11619,15432
Frontiers in Marine Science,stem,2,2296-7745,6790,15410
International Journal for Numerical Methods in Engineering,stem,2,0029-5981,2132,15321
Journal of Photochemistry and Photobiology A: Chemistry,stem,2,1010-6030,1828,15230
iScience,stem,2,2589-0042,6271,15172
IEEE Transactions on Biomedical Engineering,stem,2,0018-9294,4842,15103
Materials Today Communications,stem,2,2352-4928,12207,15041
International Journal of Modern Physics B,stem,2,0217-9792,1150,14993
Clinical Chemistry and Laboratory Medicine (CCLM),stem,2,1434-6621,765,14408
Diamond and Related Materials,stem,2,0925-9635,2785,14351
ACS Applied Nano Materials,stem,2,2574-0970,17019,14148
Chemical Geology,stem,2,0009-2541,1050,14140
Journal of Physics A: Mathematical and Theoretical,stem,2,1751-8113,2286,14026
Radiation Physics and Chemistry,stem,2,0969-806X,6704,13903
Computer Physics Communications,stem,2,0010-4655,1992,13870
Annals of Nuclear Energy,stem,2,0306-4549,1873,13735
International Journal of Modern Physics A,stem,2,0217-751X,1338,13693
Journal of Materials Chemistry B,stem,2,2050-750X,4386,13686
Journal of Engineering Physics and Thermophysics,stem,2,1062-0125,877,13669
International Journal of Mechanical Sciences,stem,2,0020-7403,2404,13639
Solar Energy Materials and Solar Cells,stem,2,0927-0248,1444,13455
Applied Economics,stem,2,0003-6846,1960,13334
Engineering Applications of Artificial Intelligence,stem,2,0952-1976,46059,13283
Journal of Marine Science and Engineering,stem,2,2077-1312,42496,13260
Applied Mathematical Modelling,stem,2,0307-904X,1578,13079
Annals of Physics,stem,2,0003-4916,1328,13076
Journal of Cosmology and Astroparticle Physics,stem,2,1475-7508,4606,13048
Journal of Structural Chemistry,stem,2,0022-4766,1003,13036
Journal of Electroanalytical Chemistry,stem,2,0022-0728,1693,13000
Composites Part B: Engineering,stem,2,1359-8368,12582,12739
Environmental Earth Sciences,stem,2,1866-6280,1526,12733
Mathematical Methods in the Applied Sciences,stem,2,0170-4214,2024,12728
Communications in Mathematical Physics,stem,2,0010-3616,1444,12546
Applied Radiation and Isotopes,stem,2,0969-8043,1265,12529
Frontiers in Veterinary Science,stem,2,2297-1769,8280,12411
Modern Physics Letters A,stem,2,0217-7323,1322,12401
Chinese Chemical Letters,stem,2,1001-8417,9172,12398
Advanced Energy Materials,stem,2,1614-6832,5136,12372
The Canadian Journal of Chemical Engineering,stem,2,0008-4034,5772,12294
European Journal of Applied Physiology,stem,2,1439-6319,769,11977
Macromolecular Chemistry and Physics,stem,2,1022-1352,1521,11960
Discrete Applied Mathematics,stem,2,0166-218X,1339,11933
Applied Physics B,stem,2,0946-2171,986,11863
International Journal of Theoretical Physics,stem,2,0020-7748,1532,11819
Structures,stem,2,2352-0124,7494,11763
Polymer Chemistry,stem,2,1759-9954,1011,11678
Journal of Food Engineering,stem,2,0260-8774,5664,11585
Journal of Chemical Theory and Computation,stem,2,1549-9618,2262,11479
Thin-Walled Structures,stem,2,0263-8231,1935,11382
IEEE Journal of Selected Topics in Applied Earth Observations and Remote Sensing,stem,2,1939-1404,9366,11374
Materials Characterization,stem,2,1044-5803,3233,11355
"International Journal of Advanced Research in Science, Communication and Technology",stem,2,2581-9429,9178,11246
Nano Energy,stem,2,2211-2855,2557,11159
ACS Applied Energy Materials,stem,2,2574-0962,9895,11091
Modern Physics Letters B,stem,2,0217-9849,1584,11065
Journal of Structural Engineering,stem,2,0733-9445,3315,11043
Arabian Journal for Science and Engineering,stem,2,1319-8025,20964,11033
Russian Journal of General Chemistry,stem,2,1070-3632,909,10915
International Journal of Energy Research,stem,2,0363-907X,898,10786
Nuclear Science and Engineering,stem,2,0029-5639,1518,10495
Advanced Engineering Materials,stem,2,1438-1656,15558,10400
Journal of Mechanical Science and Technology,stem,2,1738-494X,1452,10391
Communications in Theoretical Physics,stem,2,0253-6102,1076,10387
Minerals Engineering,stem,2,0892-6875,8822,10355
Chinese Journal of Chemistry,stem,2,1001-604X,866,10333
Results in Engineering,stem,2,2590-1230,51588,10273
Engineering Failure Analysis,stem,2,1350-6307,15987,10220
Coordination Chemistry Reviews,stem,2,0010-8545,1940,10194
Advanced Optical Materials,stem,2,2195-1071,2748,10166
Aerospace Science and Technology,stem,2,1270-9638,6292,10007
Journal of Water Process Engineering,stem,2,2214-7144,36979,9911
Journal of Geophysical Research: Space Physics,stem,2,2169-9380,2976,9838
Materials Science in Semiconductor Processing,stem,2,1369-8001,4840,9832
Physical Review Research,stem,2,2643-1564,841,9801
Composites Part A: Applied Science and Manufacturing,stem,2,1359-835X,1689,9700
Environmental Research Letters,stem,2,1748-9326,2134,9663
Applied Organometallic Chemistry,stem,2,0268-2605,2370,9627
Plasma Physics and Controlled Fusion,stem,2,0741-3335,1506,9604
Communications in Nonlinear Science and Numerical Simulation,stem,2,1007-5704,4162,9585
Applied Economics Letters,stem,2,1350-4851,1504,9579
Advanced Healthcare Materials,stem,2,2192-2640,2831,9523
Bioorganic Chemistry,stem,2,0045-2068,2581,9440
Applied Mathematics Letters,stem,2,0893-9659,856,9385
Applied Acoustics,stem,2,0003-682X,1300,9372
Control Engineering Practice,stem,2,0967-0661,5910,9370
"Proceedings of the Institution of Mechanical Engineers, Part C: Journal of Mechanical Engineering Science",stem,2,0954-4062,8148,9349
Chemical Engineering Research and Design,stem,2,0263-8762,8472,9335
Phytomedicine,stem,2,0944-7113,4011,9278
Energy Reports,stem,2,2352-4847,2039,9277
"Highlights in Science, Engineering and Technology",stem,2,2791-0210,8366,9197
Chemical Society Reviews,stem,2,0306-0012,718,9143
Process Safety and Environmental Protection,stem,2,0957-5820,3566,9045
TrAC Trends in Analytical Chemistry,stem,2,0165-9936,1138,8998
Journal of Industrial and Engineering Chemistry,stem,2,1226-086X,12826,8899
Current Medicinal Chemistry,stem,2,0929-8673,994,8863
Surfaces and Interfaces,stem,2,2468-0230,5311,8651
Physical Review Applied,stem,2,2331-7019,2226,8631
Food Bioscience,stem,2,2212-4292,4530,8597
Energy Economics,stem,2,0140-9883,1823,8564
Russian Journal of Physical Chemistry A,stem,2,0036-0244,854,8509
Journal of Wind Engineering and Industrial Aerodynamics,stem,2,0167-6105,2341,8470
Journal of Drug Delivery Science and Technology,stem,2,1773-2247,5460,8453
Engineering Geology,stem,2,0013-7952,6426,8389
Theoretical and Applied Climatology,stem,2,0177-798X,1332,8287
Technical Physics,stem,2,1063-7842,942,8261
Frontiers in Chemistry,stem,2,2296-2646,1099,8239
Optics and Lasers in Engineering,stem,2,0143-8166,9948,8208
Journal of Materials in Civil Engineering,stem,2,0899-1561,9360,8078
Results in Physics,stem,2,2211-3797,2706,7999
Soil Dynamics and Earthquake Engineering,stem,2,0267-7261,10218,7970
Frontiers in Environmental Science,stem,2,2296-665X,6447,7967
Case Studies in Thermal Engineering,stem,2,2214-157X,24966,7961
Applied Mathematics and Nonlinear Sciences,stem,2,2444-8656,4727,7914
Korean Journal of Chemical Engineering,stem,3,0256-1115,3444,7760
IEEE Transactions on Knowledge and Data Engineering,stem,3,1041-4347,7776,7756
Journal of Engineering for Gas Turbines and Power,stem,3,0742-4795,4194,7748
"Energy Sources, Part A: Recovery, Utilization, and Environmental Effects",stem,3,1556-7036,1760,7732
Journal of Environmental Sciences,stem,3,1001-0742,2110,7661
Journal of Analytical and Applied Pyrolysis,stem,3,0165-2370,1321,7650
Applied Clay Science,stem,3,0169-1317,713,7646
International Journal of Environmental Science and Technology,stem,3,1735-1472,1716,7596
Annals of Biomedical Engineering,stem,3,0090-6964,3247,7578
Ecological Engineering,stem,3,0925-8574,3002,7505
Journal of the Mechanics and Physics of Solids,stem,3,0022-5096,1766,7504
Bulletin of the Russian Academy of Sciences: Physics,stem,3,1062-8738,1962,7426
Marine Environmental Research,stem,3,0141-1136,1545,7385
Organic Chemistry Frontiers,stem,3,2052-4110,1746,7379
Nature Physics,stem,3,1745-2473,1646,7286
Research on Chemical Intermediates,stem,3,0922-6168,773,7251
ACS Applied Polymer Materials,stem,3,2637-6105,9963,7239
Alexandria Engineering Journal,stem,3,1110-0168,14832,7070
Measurement,stem,3,1350-4487,7813,7037
Chemical Engineering and Processing - Process Intensification,stem,3,0255-2701,5632,6993
International Journal of Environmental Analytical Chemistry,stem,3,0306-7319,1226,6948
Journal of the Brazilian Society of Mechanical Sciences and Engineering,stem,3,1678-5878,10170,6844
Journal of the Mechanical Behavior of Biomedical Materials,stem,3,1751-6161,938,6813
Physics of Atomic Nuclei,stem,3,1063-7788,1432,6787
Advances in Mechanical Engineering,stem,3,1687-8132,3325,6768
Engineering Analysis with Boundary Elements,stem,3,0955-7997,5820,6766
Biochemical Engineering Journal,stem,3,1369-703X,4948,6757
Procedia Structural Integrity,stem,3,2452-3216,2174,6723
Bulletin of Engineering Geology and the Environment,stem,3,1435-9529,8292,6717
Applied Soil Ecology,stem,3,0929-1393,1650,6717
Current Applied Physics,stem,3,1567-1739,941,6630
Frontiers in Energy Research,stem,3,2296-598X,1448,6622
Progress in Nuclear Energy,stem,3,0149-1970,1157,6583
Journal of the Taiwan Institute of Chemical Engineers,stem,3,1876-1070,1262,6395
Rock Mechanics and Rock Engineering,stem,3,0723-2632,10350,6385
Chemical Papers,stem,3,0366-6352,1505,6267
International Journal of Impact Engineering,stem,3,0734-743X,4176,6216
Inorganic Chemistry Frontiers,stem,3,2052-1545,1751,6129
Arabian Journal of Chemistry,stem,3,1878-5352,959,6065
IEEE Transactions on Automation Science and Engineering,stem,3,1545-5955,24000,6031
Case Studies in Construction Materials,stem,3,2214-5095,3889,6003
IEEE Transactions on Engineering Management,stem,3,0018-9391,9054,5975
Journal of Geotechnical and Geoenvironmental Engineering,stem,3,1090-0241,1527,5944
Low Temperature Physics,stem,3,1063-777X,844,5826
Journal of Atmospheric and Solar-Terrestrial Physics,stem,3,1364-6826,912,5815
European Journal of Physics,stem,3,0143-0807,814,5800
Advances in Civil Engineering,stem,3,1687-8086,3443,5796
KSCE Journal of Civil Engineering,stem,3,1226-7988,5562,5793
Journal of Energy Chemistry,stem,3,2095-4956,4200,5759
"Proceedings of the Institution of Mechanical Engineers, Part D: Journal of Automobile Engineering",stem,3,0954-4070,6720,5711
International Journal of Innovative Science and Research Technology,stem,3,2456-2165,10466,5694
Frontiers in Physics,stem,3,2296-424X,2100,5615
ACS Applied Bio Materials,stem,3,2576-6422,1746,5514
ACS Energy Letters,stem,3,2380-8195,1656,5494
Journal of Geometry and Physics,stem,3,0393-0440,1130,5478
Theoretical and Applied Fracture Mechanics,stem,3,0167-8442,1233,5410
Journal of Construction Engineering and Management,stem,3,0733-9364,3405,5393
Quality and Reliability Engineering International,stem,3,0748-8017,1473,5349
Infrared and Laser Engineering,stem,3,1007-2276,4170,5318
ACS Medicinal Chemistry Letters,stem,3,1948-5875,962,5300
Chinese Journal of Chemical Engineering,stem,3,1004-9541,5172,5299
Russian Engineering Research,stem,3,1068-798X,4734,5294
ACS Applied Electronic Materials,stem,3,2637-6113,4441,5222
Science China Chemistry,stem,3,1674-7291,1393,5197
Journal of Applied Geophysics,stem,3,0926-9851,757,5176
International Journal of Modern Physics C,stem,3,0129-1831,1024,5160
Energy Storage Materials,stem,3,2405-8297,3965,5116
Journal of Applied Clinical Medical Physics,stem,3,1526-9914,1776,5114
IEEE Transactions on Neural Systems and Rehabilitation Engineering,stem,3,1534-4320,5928,5093
ACS Chemical Neuroscience,stem,3,1948-7193,829,5092
Applied Ocean Research,stem,3,0141-1187,1002,5010
Environmental Geochemistry and Health,stem,3,0269-4042,1345,4968
Nuclear Engineering and Technology,stem,3,1738-5733,10020,4908
Chinese Physics C,stem,3,1674-1137,1536,4827
SN Computer Science,stem,3,2662-995X,4774,4777
Energy Technology,stem,3,2194-4288,1036,4765
Engineering Research Express,stem,3,2631-8695,21066,4729
Journal of Food Process Engineering,stem,3,0145-8876,4232,4685
Biosystems Engineering,stem,3,1537-5110,954,4616
Sustainable Energy Technologies and Assessments,stem,3,2213-1388,1165,4541
Indian Journal of Physics,stem,3,0019-5480,1918,4524
Asian Journal of Organic Chemistry,stem,3,2193-5807,985,4515
Health Science Reports,stem,3,2398-8835,5184,4428
Thermal Science and Engineering Progress,stem,3,2451-9049,18912,4407
International Journal of Applied Ceramic Technology,stem,3,1546-542X,863,4309
Advanced Engineering Informatics,stem,3,1474-0346,12708,4262
Brazilian Journal of Physics,stem,3,0103-9733,1270,4125
Journal of Neural Engineering,stem,3,1741-2560,4395,4035
International Journal of Geometric Methods in Modern Physics,stem,3,0219-8878,1144,3984
Environmental Impact Assessment Review,stem,3,0195-9255,1017,3937
Computational and Applied Mathematics,stem,3,0101-8205,1168,3838
Chinese Journal of Mechanical Engineering,stem,3,1000-9345,3170,3836
Structural Concrete,stem,3,1464-4177,997,3806
Ain Shams Engineering Journal,stem,3,2090-4479,8982,3795
Food Chemistry: X,stem,3,2590-1575,2723,3744
IEEJ Transactions on Electrical and Electronic Engineering,stem,3,1931-4973,2156,3740
International Journal of Precision Engineering and Manufacturing,stem,3,1229-8557,1452,3738
"Physics and Chemistry of the Earth, Parts A/B/C",stem,3,1474-7065,2400,3731
Computational and Structural Biotechnology Journal,stem,3,2001-0370,1116,3714
Applied Biochemistry and Biotechnology,stem,3,0885-4513,823,3693
Clean Technologies and Environmental Policy,stem,3,1618-954X,724,3687
Materials Today Chemistry,stem,3,2468-5194,1733,3527
Physics of Metals and Metallography,stem,3,0031-918X,806,3524
Environmental Science: Nano,stem,3,2051-8153,833,3492
Computational Mathematics and Mathematical Physics,stem,3,0965-5425,898,3490
Chinese Journal of Physics,stem,3,0577-9073,2428,3478
Bulletin of Earthquake Engineering,stem,3,1570-761X,2204,3462
"International Journal of Scientific Research in Computer Science, Engineering and Information Technology",stem,3,2456-3307,7182,3375
Journal of Applied Mathematics and Computing,stem,3,1598-5865,823,3352
Journal of Computational Methods in Sciences and Engineering,stem,3,1472-7978,8382,3281
Results in Chemistry,stem,3,2211-7156,2014,3255
Computer-Aided Civil and Infrastructure Engineering,stem,3,1093-9687,2176,3218
"Proceedings of the Institution of Mechanical Engineers, Part E: Journal of Process Mechanical Engineering",stem,3,0954-4089,5014,3204
Computational Biology and Chemistry,stem,3,1476-9271,916,3188
Polymer Composites,stem,3,0967-3911,3780,3160
Polymer,stem,3,0967-3911,2860,3160
International Journal of System Assurance Engineering and Management,stem,3,0975-6809,6102,3143
Applied Materials Today,stem,3,2352-9407,1158,3131
Materials Today Bio,stem,3,2590-0064,2121,3031
International Journal of Pavement Engineering,stem,3,1029-8436,3293,2954
Physics of Particles and Nuclei Letters,stem,3,1547-4771,970,2948
Corporate Social Responsibility and Environmental Management,stem,3,1535-3958,1107,2889
International Journal of Applied Pharmaceutics,stem,3,0975-7058,825,2861
Geoenergy Science and Engineering,stem,3,2949-8910,10554,2849
Journal of Applied Mathematics and Physics,stem,3,2327-4352,1154,2842
IEEE Transactions on Network Science and Engineering,stem,3,2327-4697,7788,2834
Journal of Asian Architecture and Building Engineering,stem,3,1346-7581,5430,2822
Advances in Applied Mathematics,stem,3,0196-8858,1456,2806
Applied Water Science,stem,3,2190-5487,699,2744
Discover Applied Sciences,stem,3,3004-9261,2672,2709
Journal of Rock Mechanics and Geotechnical Engineering,stem,3,1674-7755,8184,2698
Journal of the Energy Institute,stem,3,0144-2600,935,2660
Science,stem,3,1513-1874,5792,2599
Communications Physics,stem,3,2399-3650,2158,2589
Journal of the Indian Chemical Society,stem,3,0019-4522,1453,2550
Structural Health Monitoring,stem,3,1475-9217,790,2488
Journal of Radiation Research and Applied Sciences,stem,3,1687-8507,1504,2466
Progress of Theoretical and Experimental Physics,stem,3,2050-3911,772,2447
Materials Today Energy,stem,3,2468-6069,741,2223
Nano Letters,stem,3,1941-4900,10081,2206
Physics of Particles and Nuclei,stem,3,1063-7796,1011,2142
Sustainable Chemistry and Pharmacy,stem,3,2352-5541,928,2122
"Iranian Journal of Science and Technology, Transactions of Civil Engineering",stem,3,2228-6160,4734,2098
Bulletin of the Lebedev Physics Institute,stem,3,1068-3356,962,2040
Energy Strategy Reviews,stem,3,2211-467X,920,2021
Communications Chemistry,stem,3,2399-3669,863,1980
"Sustainable Energy, Grids and Networks",stem,3,2352-4677,991,1963
Physics of the Dark Universe,stem,3,2212-6864,1812,1945
Applied Food Research,stem,3,2772-5022,1581,1943
Water,stem,3,0262-8104,7476,1917
"Engineering Science and Technology, an International Journal",stem,3,2215-0986,1602,1907
Engineering Reports,stem,3,2577-8196,5706,1889
Environmental Research Communications,stem,3,2515-7620,1109,1884
Materials Today Physics,stem,3,2542-5293,1572,1868
International Journal of Computational and Experimental Science and Engineering,stem,3,2149-9144,9750,1823
Hans Journal of Civil Engineering,stem,3,2326-3458,3369,1799
Energy Conversion and Management: X,stem,3,2590-1745,1306,1787
ACM Transactions on Software Engineering and Methodology,stem,3,1049-331X,4806,1752
RSC Medicinal Chemistry,stem,3,2632-8682,806,1700
Asian Journal of Civil Engineering,stem,3,1563-0854,4180,1654
Archives of Computational Methods in Engineering,stem,3,1134-3060,1519,1643
Chemistry Africa,stem,3,2522-5758,795,1634
Case Studies in Chemical and Environmental Engineering,stem,3,2666-0164,4908,1364
Applied Physics Reviews,stem,3,1931-9401,1062,1319
INMATEH Agricultural Engineering,stem,3,2068-4215,2136,1285
Food Chemistry Advances,stem,3,2772-753X,703,1255
Environmental and Sustainability Indicators,stem,3,2665-9727,914,1229
STUDIES IN ENGINEERING AND EXACT SCIENCES,stem,3,2764-0981,3429,1222
ACS Applied Engineering Materials,stem,3,2771-9545,5404,1193
European Journal of Theoretical and Applied Sciences,stem,3,2786-7447,698,1176
Chemical Engineering Journal Advances,stem,3,2666-8211,2281,1151
Partial Differential Equations in Applied Mathematics,stem,3,2666-8181,752,1149
"e-Prime - Advances in Electrical Engineering, Electronics and Energy",stem,3,2772-6711,4358,1116
East European Journal of Physics,stem,3,2312-4334,948,1101
Agriculture,stem,3,1166-7699,5040,1088
Archives of Civil and Mechanical Engineering,stem,3,1644-9665,3218,1079
Chemical Physics Impact,stem,3,2667-0224,1887,1040
Physics and Imaging in Radiation Oncology,stem,3,2405-6316,860,957
Computer Methods in Biomechanics and Biomedical Engineering,stem,3,2168-1163,3003,867
Applied Fruit Science,stem,3,2948-2623,784,832
Gas Science and Engineering,stem,3,2949-9089,1487,796
Land,stem,3,2300-1496,4945,494
Food Research International,stem,3,1524-8275,1891,412
Physics,stem,3,0148-6349,1858,399
Water Research,stem,3,2251-6174,5782,340
Environmental Research,stem,3,2356-8054,12384,277
Fuel,stem,3,2673-3994,10945,273
Energy,stem,3,2589-7780,23382,164
Matter,stem,3,2297-8240,926,129
Journal of Engineering and Applied Science,stem,3,2797-0442,3796,126
Physics Education,stem,3,2307-5457,1116,61
Green Chemistry,stem,3,2777-0664,2518,60
New Journal of Physics,stem,3,2775-5894,2066,56
Computers and Electrical Engineering,stem,3,3026-0744,10506,55
Electrical Engineering,stem,3,3026-0744,8400,55
Corrosion Science,stem,3,2210-6839,1886,55
Journal of Engineering Research,stem,3,2538-516X,3230,12
Precision Engineering,stem,3,3105-1693,3435,9
Foods,stem,3,3123-1748,7516,6
International Journal of Applied Earth Observation and Geoinformation,stem,3,0303-2434,1586,1
